model_id,source_repo,source_lang,target_lang,vocab_size,model_type,eval_method,variants,stars,quality_label,status
tcbig-gmq-zlw,Helsinki-NLP/opus-mt-tc-big-gmq-zlw,tcbig,zlw,58521,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-itc-tr,Helsinki-NLP/opus-mt-tc-big-itc-tr,tcbig,tr,58545,translation,seq2seq,"base,ct2,ct2_int8,lora",2.3333333333333335,Fair,api_success
tc-big-itc-tr,Helsinki-NLP/opus-mt-tc-big-itc-tr,tc,tr,58545,translation,seq2seq,"base,ct2,ct2_int8,lora",2.5,Fair,api_success
sk-fr,Helsinki-NLP/opus-mt-sk-fr,sk,fr,58559,translation,seq2seq,"base,ct2,ct2_int8,lora",3.5,Good,api_success
fr-sk,Helsinki-NLP/opus-mt-fr-sk,fr,sk,58559,translation,seq2seq,"base,ct2,ct2_int8,lora",3.0,Good,api_success
fr-hu,Helsinki-NLP/opus-mt-fr-hu,fr,hu,58564,translation,seq2seq,"base,ct2,ct2_int8,lora",3.0,Good,api_success
hu-fr,Helsinki-NLP/opus-mt-hu-fr,hu,fr,58564,translation,seq2seq,"base,ct2,ct2_int8,lora",2.5,Fair,api_success
tcbig-lt-en,Helsinki-NLP/opus-mt-tc-big-lt-en,tcbig,en,58577,translation,seq2seq,"base,ct2,ct2_int8,lora",0.6666666666666666,Experimental,api_success
tcbig-en-lt,Helsinki-NLP/opus-mt-tc-big-en-lt,tcbig,lt,58577,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-lt,Helsinki-NLP/opus-mt-tc-big-en-lt,tc,lt,58577,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-lt-en,Helsinki-NLP/opus-mt-tc-big-lt-en,tc,en,58577,translation,seq2seq,"base,ct2,ct2_int8,lora",1.0,Basic,api_success
tc-bible-big-zhx-en,Helsinki-NLP/opus-mt-tc-bible-big-zhx-en,tc,en,58592,translation,seq2seq,"base,ct2,ct2_int8,lora",3.5,Good,api_success
tcbig-bible_zhx-en,Helsinki-NLP/opus-mt-tc-bible-big-zhx-en,tcbig,en,58592,translation,seq2seq,"base,ct2,ct2_int8,lora",3.5,Good,api_success
es-cs,Helsinki-NLP/opus-mt-es-cs,es,cs,58623,translation,seq2seq,"base,ct2,ct2_int8,lora",2.1666666666666665,Fair,api_success
tc-base-en-sh,Helsinki-NLP/opus-mt-tc-base-en-sh,tc,sh,58639,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-is,Helsinki-NLP/opus-mt-en-is,en,is,58647,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
is-en,Helsinki-NLP/opus-mt-is-en,is,en,58647,translation,seq2seq,"base,ct2,ct2_int8,lora",4.0,High Quality,api_success
es-hr,Helsinki-NLP/opus-mt-es-hr,es,hr,58648,translation,seq2seq,"base,ct2,ct2_int8,lora",3.6666666666666665,Good,api_success
hr-es,Helsinki-NLP/opus-mt-hr-es,hr,es,58648,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
hr-fr,Helsinki-NLP/opus-mt-hr-fr,hr,fr,58663,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-hr,Helsinki-NLP/opus-mt-fr-hr,fr,hr,58663,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-hu,Helsinki-NLP/opus-mt-de-hu,de,hu,58671,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
hu-de,Helsinki-NLP/opus-mt-hu-de,hu,de,58671,translation,seq2seq,"base,ct2,ct2_int8,lora",3.0,Good,api_success
umb-en,Helsinki-NLP/opus-mt-umb-en,umb,en,58673,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-umb,Helsinki-NLP/opus-mt-en-umb,en,umb,58673,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-hr,Helsinki-NLP/opus-mt-de-hr,de,hr,58701,translation,seq2seq,"base,ct2,ct2_int8,lora",4.0,High Quality,api_success
tc-bible-big-bat-en,Helsinki-NLP/opus-mt-tc-bible-big-bat-en,tc,en,58702,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tcbig-bible_bat-en,Helsinki-NLP/opus-mt-tc-bible-big-bat-en,tcbig,en,58702,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
pl-sv,Helsinki-NLP/opus-mt-pl-sv,pl,sv,58718,translation,seq2seq,"base,ct2,ct2_int8,lora",2.6666666666666665,Fair,api_success
tcbig-bible_fiu-en,Helsinki-NLP/opus-mt-tc-bible-big-fiu-en,tcbig,en,58747,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tc-bible-big-fiu-en,Helsinki-NLP/opus-mt-tc-bible-big-fiu-en,tc,en,58747,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tc-big-fa-gmq,Helsinki-NLP/opus-mt-tc-big-fa-gmq,tc,gmq,58754,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
tcbig-fa-gmq,Helsinki-NLP/opus-mt-tc-big-fa-gmq,tcbig,gmq,58754,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
af-de,Helsinki-NLP/opus-mt-af-de,af,de,58757,translation,seq2seq,"base,ct2,ct2_int8,lora",3.5,Good,api_success
tr-sv,Helsinki-NLP/opus-mt-tr-sv,tr,sv,58767,translation,seq2seq,"base,ct2,ct2_int8,lora",3.6666666666666665,Good,api_success
ln-fr,Helsinki-NLP/opus-mt-ln-fr,ln,fr,58810,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-ln,Helsinki-NLP/opus-mt-fr-ln,fr,ln,58810,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-srn,Helsinki-NLP/opus-mt-sv-srn,sv,srn,58814,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
srn-sv,Helsinki-NLP/opus-mt-srn-sv,srn,sv,58814,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sla-en,Helsinki-NLP/opus-mt-sla-en,sla,en,58816,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
de-bzs,Helsinki-NLP/opus-mt-de-bzs,de,bzs,58819,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-en-el,Helsinki-NLP/opus-mt-tc-big-en-el,tcbig,el,58829,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-el-en,Helsinki-NLP/opus-mt-tc-big-el-en,tcbig,en,58829,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-el-en,Helsinki-NLP/opus-mt-tc-big-el-en,tc,en,58829,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-big-en-el,Helsinki-NLP/opus-mt-tc-big-en-el,tc,el,58829,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_tai-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-tai-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,58838,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
tc-bible-big-tai-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-tai-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,58838,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
en-pqw,Helsinki-NLP/opus-mt-en-pqw,en,pqw,58849,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-fj,Helsinki-NLP/opus-mt-sv-fj,sv,fj,58854,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ha-sv,Helsinki-NLP/opus-mt-ha-sv,ha,sv,58857,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-ha,Helsinki-NLP/opus-mt-sv-ha,sv,ha,58857,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-lt,Helsinki-NLP/opus-mt-de-lt,de,lt,58862,translation,seq2seq,"base,ct2,ct2_int8,lora",0.8333333333333334,Experimental,api_success
lt-de,Helsinki-NLP/opus-mt-lt-de,lt,de,58862,translation,seq2seq,"base,ct2,ct2_int8,lora",1.8333333333333333,Basic,api_success
et-en,Helsinki-NLP/opus-mt-et-en,et,en,58866,translation,seq2seq,"base,ct2,ct2_int8,lora",0.16666666666666666,Experimental,api_success
en-et,Helsinki-NLP/opus-mt-en-et,en,et,58866,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-ty,Helsinki-NLP/opus-mt-es-ty,es,ty,58873,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ty-es,Helsinki-NLP/opus-mt-ty-es,ty,es,58873,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-sla,Helsinki-NLP/opus-mt-en-sla,en,sla,58879,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-to,Helsinki-NLP/opus-mt-fr-to,fr,to,58889,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
to-fr,Helsinki-NLP/opus-mt-to-fr,to,fr,58889,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lt-fr,Helsinki-NLP/opus-mt-lt-fr,lt,fr,58898,translation,seq2seq,"base,ct2,ct2_int8,lora",2.5,Fair,api_success
sv-chk,Helsinki-NLP/opus-mt-sv-chk,sv,chk,58904,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
chk-sv,Helsinki-NLP/opus-mt-chk-sv,chk,sv,58904,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
swc-en,Helsinki-NLP/opus-mt-swc-en,swc,en,58905,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-swc,Helsinki-NLP/opus-mt-en-swc,en,swc,58905,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-is,Helsinki-NLP/opus-mt-sv-is,sv,is,58915,translation,seq2seq,"base,ct2,ct2_int8,lora",3.6666666666666665,Good,api_success
is-sv,Helsinki-NLP/opus-mt-is-sv,is,sv,58915,translation,seq2seq,"base,ct2,ct2_int8,lora",4.333333333333333,High Quality,api_success
en-urj,Helsinki-NLP/opus-mt-en-urj,en,urj,58920,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fiu-en,Helsinki-NLP/opus-mt-fiu-en,fiu,en,58923,translation,seq2seq,"base,ct2,ct2_int8,lora",1.6666666666666667,Basic,api_success
tc-big-sh-en,Helsinki-NLP/opus-mt-tc-big-sh-en,tc,en,58923,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
tcbig-sh-en,Helsinki-NLP/opus-mt-tc-big-sh-en,tcbig,en,58923,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
da-en,Helsinki-NLP/opus-mt-da-en,da,en,58930,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
en-da,Helsinki-NLP/opus-mt-en-da,en,da,58930,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-fiu,Helsinki-NLP/opus-mt-en-fiu,en,fiu,58938,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
urj-en,Helsinki-NLP/opus-mt-urj-en,urj,en,58944,translation,seq2seq,"base,ct2,ct2_int8,lora",4.333333333333333,High Quality,api_success
en-sw,Helsinki-NLP/opus-mt-en-sw,en,sw,58950,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-to,Helsinki-NLP/opus-mt-es-to,es,to,58959,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
to-es,Helsinki-NLP/opus-mt-to-es,to,es,58959,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
is-fr,Helsinki-NLP/opus-mt-is-fr,is,fr,58996,translation,seq2seq,"base,ct2,ct2_int8,lora",4.0,High Quality,api_success
cs-fi,Helsinki-NLP/opus-mt-cs-fi,cs,fi,59012,translation,seq2seq,"base,ct2,ct2_int8,lora",2.3333333333333335,Fair,api_success
fi-cs,Helsinki-NLP/opus-mt-fi-cs,fi,cs,59012,translation,seq2seq,"base,ct2,ct2_int8,lora",2.8333333333333335,Fair,api_success
es-it,Helsinki-NLP/opus-mt-es-it,es,it,59031,translation,seq2seq,"base,ct2,ct2_int8,lora",1.3333333333333333,Basic,api_success
it-es,Helsinki-NLP/opus-mt-it-es,it,es,59031,translation,seq2seq,"base,ct2,ct2_int8,lora",1.0,Basic,api_success
fi-mt,Helsinki-NLP/opus-mt-fi-mt,fi,mt,59039,translation,seq2seq,"base,ct2,ct2_int8,lora",2.3333333333333335,Fair,api_success
mt-fi,Helsinki-NLP/opus-mt-mt-fi,mt,fi,59039,translation,seq2seq,"base,ct2,ct2_int8,lora",3.5,Good,api_success
bat-en,Helsinki-NLP/opus-mt-bat-en,bat,en,59056,translation,seq2seq,"base,ct2,ct2_int8,lora",2.0,Fair,api_success
en-bat,Helsinki-NLP/opus-mt-en-bat,en,bat,59061,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
efi-sv,Helsinki-NLP/opus-mt-efi-sv,efi,sv,59076,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-efi,Helsinki-NLP/opus-mt-sv-efi,sv,efi,59076,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_bat-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_nld,tcbig,deu_eng_nld,59091,translation,seq2seq,"base,ct2,ct2_int8,lora",1.6666666666666667,Basic,api_success
tc-bible-big-bat-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_nld,tc,deu_eng_nld,59091,translation,seq2seq,"base,ct2,ct2_int8,lora",2.5,Fair,api_success
sv-yo,Helsinki-NLP/opus-mt-sv-yo,sv,yo,59097,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
yo-sv,Helsinki-NLP/opus-mt-yo-sv,yo,sv,59097,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-pap,Helsinki-NLP/opus-mt-sv-pap,sv,pap,59099,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
art-en,Helsinki-NLP/opus-mt-art-en,art,en,59131,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-hil,Helsinki-NLP/opus-mt-sv-hil,sv,hil,59139,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
ro-fi,Helsinki-NLP/opus-mt-ro-fi,ro,fi,59142,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
fi-ro,Helsinki-NLP/opus-mt-fi-ro,fi,ro,59142,translation,seq2seq,"base,ct2,ct2_int8,lora",2.8333333333333335,Fair,api_success
sq-en,Helsinki-NLP/opus-mt-sq-en,sq,en,59158,translation,seq2seq,"base,ct2,ct2_int8,lora",3.0,Good,api_success
en-sq,Helsinki-NLP/opus-mt-en-sq,en,sq,59158,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-zhx-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-zhx-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,59178,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
tcbig-bible_zhx-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-zhx-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,59178,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
ceb-sv,Helsinki-NLP/opus-mt-ceb-sv,ceb,sv,59183,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
sv-ceb,Helsinki-NLP/opus-mt-sv-ceb,sv,ceb,59183,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_urj-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-urj-deu_eng_nld,tcbig,deu_eng_nld,59183,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-urj-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-urj-deu_eng_nld,tc,deu_eng_nld,59183,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-en,Helsinki-NLP/opus-mt-eo-en,eo,en,59197,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-eo,Helsinki-NLP/opus-mt-en-eo,en,eo,59197,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sk-fi,Helsinki-NLP/opus-mt-sk-fi,sk,fi,59223,translation,seq2seq,"base,ct2,ct2_int8,lora",3.3333333333333335,Good,api_success
fi-sk,Helsinki-NLP/opus-mt-fi-sk,fi,sk,59223,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
tcbig-bible_pqw-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-pqw-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,59229,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
tc-bible-big-pqw-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-pqw-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,59229,translation,seq2seq,"base,ct2,ct2_int8,lora",1.1666666666666667,Basic,api_success
es-hil,Helsinki-NLP/opus-mt-es-hil,es,hil,59256,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
id-fi,Helsinki-NLP/opus-mt-id-fi,id,fi,59299,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
de-af,Helsinki-NLP/opus-mt-de-af,de,af,59299,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
fi-id,Helsinki-NLP/opus-mt-fi-id,fi,id,59299,translation,seq2seq,"base,ct2,ct2_int8,lora",4.833333333333333,Gold Standard,api_success
ig-sv,Helsinki-NLP/opus-mt-ig-sv,ig,sv,59311,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-ig,Helsinki-NLP/opus-mt-sv-ig,sv,ig,59311,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sl-fi,Helsinki-NLP/opus-mt-sl-fi,sl,fi,59315,translation,seq2seq,"base,ct2,ct2_int8,lora",1.0,Basic,api_success
fi-sl,Helsinki-NLP/opus-mt-fi-sl,fi,sl,59315,translation,seq2seq,"base,ct2,ct2_int8,lora",3.1666666666666665,Good,api_success
is-de,Helsinki-NLP/opus-mt-is-de,is,de,59315,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
de-is,Helsinki-NLP/opus-mt-de-is,de,is,59315,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,tokenizer_success
ceb-es,Helsinki-NLP/opus-mt-ceb-es,ceb,es,59324,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
es-ceb,Helsinki-NLP/opus-mt-es-ceb,es,ceb,59324,translation,seq2seq,"base,ct2,ct2_int8,lora",4.0,High Quality,api_success
sv-bg,Helsinki-NLP/opus-mt-sv-bg,sv,bg,59345,translation,seq2seq,"base,ct2,ct2_int8,lora",4.166666666666667,High Quality,api_success
fi-NORWAY,Helsinki-NLP/opus-mt-fi-NORWAY,fi,NORWAY,59345,translation,seq2seq,"base,ct2,ct2_int8,lora",3.6666666666666665,Good,api_success
pl-lt,Helsinki-NLP/opus-mt-pl-lt,pl,lt,59345,translation,seq2seq,"base,ct2,ct2_int8,lora",1.1666666666666667,Basic,api_success
bg-sv,Helsinki-NLP/opus-mt-bg-sv,bg,sv,59345,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
lt-pl,Helsinki-NLP/opus-mt-lt-pl,lt,pl,59345,translation,seq2seq,"base,ct2,ct2_int8,lora",1.3333333333333333,Basic,api_success
it-fr,Helsinki-NLP/opus-mt-it-fr,it,fr,59351,translation,seq2seq,"base,ct2,ct2_int8,lora",0.8333333333333334,Experimental,api_success
tcbig-bible_urj-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-urj-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,59366,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-urj-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-urj-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,59366,translation,seq2seq,"base,ct2,ct2_int8,lora",4.666666666666667,Gold Standard,tokenizer_success
tc-bible-big-fiu-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-fiu-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,59382,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_fiu-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-fiu-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,59382,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_deu_eng_fra_por_spa-urj,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-urj,tcbig,urj,59384,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-deu_eng_fra_por_spa-urj,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-urj,tc,urj,59384,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_deu_eng_fra_por_spa-fiu,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-fiu,tcbig,fiu,59392,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tc-bible-big-deu_eng_fra_por_spa-fiu,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-fiu,tc,fiu,59392,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-hr,Helsinki-NLP/opus-mt-fi-hr,fi,hr,59394,translation,seq2seq,"base,ct2,ct2_int8,lora",3.3333333333333335,Good,api_success
hr-fi,Helsinki-NLP/opus-mt-hr-fi,hr,fi,59394,translation,seq2seq,"base,ct2,ct2_int8,lora",4.333333333333333,High Quality,api_success
fr-fj,Helsinki-NLP/opus-mt-fr-fj,fr,fj,59408,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fj-fr,Helsinki-NLP/opus-mt-fj-fr,fj,fr,59408,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-zls-itc,Helsinki-NLP/opus-mt-tc-big-zls-itc,tcbig,itc,59413,translation,seq2seq,"base,ct2,ct2_int8,lora",1.6666666666666667,Basic,api_success
tc-big-zls-itc,Helsinki-NLP/opus-mt-tc-big-zls-itc,tc,itc,59413,translation,seq2seq,"base,ct2,ct2_int8,lora",2.1666666666666665,Fair,api_success
en-sit,Helsinki-NLP/opus-mt-en-sit,en,sit,59414,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-ha,Helsinki-NLP/opus-mt-fr-ha,fr,ha,59416,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ha-fr,Helsinki-NLP/opus-mt-ha-fr,ha,fr,59416,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-af,Helsinki-NLP/opus-mt-fr-af,fr,af,59422,translation,seq2seq,"base,ct2,ct2_int8,lora",4.0,High Quality,api_success
af-fr,Helsinki-NLP/opus-mt-af-fr,af,fr,59422,translation,seq2seq,"base,ct2,ct2_int8,lora",4.666666666666667,Gold Standard,api_success
fi-bzs,Helsinki-NLP/opus-mt-fi-bzs,fi,bzs,59433,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
bzs-fi,Helsinki-NLP/opus-mt-bzs-fi,bzs,fi,59433,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-war,Helsinki-NLP/opus-mt-sv-war,sv,war,59435,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
war-sv,Helsinki-NLP/opus-mt-war-sv,war,sv,59435,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-lua,Helsinki-NLP/opus-mt-en-lua,en,lua,59447,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lua-en,Helsinki-NLP/opus-mt-lua-en,lua,en,59447,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ilo-es,Helsinki-NLP/opus-mt-ilo-es,ilo,es,59457,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-ilo,Helsinki-NLP/opus-mt-es-ilo,es,ilo,59457,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
lv-fi,Helsinki-NLP/opus-mt-lv-fi,lv,fi,59460,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
fi-lv,Helsinki-NLP/opus-mt-fi-lv,fi,lv,59460,translation,seq2seq,"base,ct2,ct2_int8,lora",0.3333333333333333,Experimental,api_success
tc-bible-big-bat-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_fra_por_spa,tc,deu_eng_fra_por_spa,59467,translation,seq2seq,"base,ct2,ct2_int8,lora",1.1666666666666667,Basic,api_success
tcbig-bible_bat-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_fra_por_spa,tcbig,deu_eng_fra_por_spa,59467,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
fi-de,Helsinki-NLP/opus-mt-fi-de,fi,de,59471,translation,seq2seq,"base,ct2,ct2_int8,lora",2.6666666666666665,Fair,api_success
tc-bible-big-deu_eng_fra_por_spa-bat,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-bat,tc,bat,59473,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tcbig-bible_deu_eng_fra_por_spa-bat,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-bat,tcbig,bat,59473,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-efi,Helsinki-NLP/opus-mt-fr-efi,fr,efi,59481,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
